# Experiment Results
# Name,C1_small_memory
# Architecture,11→256→3
# Memory Size,10000
# Wall Obstacle,False
# Final Record,70
# Final Avg (last 100),33.17
# Overall Avg,27.51
# Overall Std,16.66
# Block Averages (per 100 eps),"4.46, 33.06, 32.69, 34.15, 33.17"
# --- Observational Notes ---
# Training Stability (avg variance),141.51
# Max Performance Drop (forgetting),1.97
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
333,42,70,32.61,866,10000,157.49,12.55,33.61,1.00,0
334,10,70,32.46,221,10000,158.65,12.60,33.61,1.15,0
335,35,70,32.50,677,10000,151.65,12.31,33.61,1.11,0
336,23,70,32.31,516,10000,152.83,12.36,33.61,1.30,0
337,42,70,32.42,972,10000,154.92,12.45,33.61,1.19,0
338,35,70,32.60,703,10000,155.10,12.45,33.61,1.01,0
339,32,70,32.66,736,10000,153.81,12.40,33.61,0.95,0
340,27,70,32.62,548,10000,153.32,12.38,33.61,0.99,0
341,49,70,32.58,994,10000,158.04,12.57,33.61,1.03,0
342,40,70,32.55,856,10000,158.96,12.61,33.61,1.06,0
343,25,70,32.66,620,10000,160.15,12.66,33.61,0.95,0
344,43,70,32.89,1130,10000,161.30,12.70,33.61,0.72,0
345,40,70,33.02,948,10000,162.25,12.74,33.61,0.59,0
346,34,70,33.03,746,10000,160.66,12.68,33.61,0.58,0
347,26,70,33.04,464,10000,148.02,12.17,33.61,0.57,0
348,27,70,32.82,590,10000,146.42,12.10,33.61,0.79,0
349,35,70,32.99,854,10000,144.02,12.00,33.61,0.62,0
350,43,70,32.80,924,10000,136.52,11.68,33.61,0.81,0
351,27,70,32.92,555,10000,131.36,11.46,33.61,0.69,0
352,38,70,32.75,898,10000,131.52,11.47,33.61,0.86,0
353,13,70,32.27,289,10000,138.37,11.76,33.61,1.34,0
354,41,70,32.36,856,10000,137.64,11.73,33.61,1.25,0
355,54,70,32.71,1399,10000,146.12,12.09,33.61,0.90,0
356,27,70,32.54,426,10000,146.56,12.11,33.61,1.07,0
357,38,70,32.54,741,10000,143.32,11.97,33.61,1.07,0
358,27,70,32.34,519,10000,143.84,11.99,33.61,1.27,0
359,21,70,32.28,413,10000,145.47,12.06,33.61,1.33,0
360,33,70,32.46,582,10000,145.27,12.05,33.61,1.15,0
361,21,70,32.27,491,10000,148.18,12.17,33.61,1.34,0
362,19,70,32.06,293,10000,144.88,12.04,33.61,1.55,0
363,36,70,32.16,738,10000,129.17,11.37,33.61,1.45,0
364,41,70,32.24,944,10000,128.23,11.32,33.61,1.37,0
365,57,70,32.37,1276,10000,137.31,11.72,33.61,1.24,0
366,24,70,32.33,543,10000,126.21,11.23,33.61,1.28,0
367,25,70,32.25,501,10000,122.94,11.09,33.61,1.36,0
368,37,70,32.36,794,10000,122.94,11.09,33.61,1.25,0
369,29,70,32.43,586,10000,117.22,10.83,33.61,1.18,0
370,36,70,32.59,748,10000,115.20,10.73,33.61,1.02,0
371,62,70,32.78,1516,10000,132.45,11.51,33.61,0.83,0
372,43,70,32.98,1070,10000,128.56,11.34,33.61,0.63,0
373,50,70,33.30,978,10000,128.28,11.33,33.61,0.31,0
374,24,70,33.27,434,10000,122.22,11.06,33.61,0.34,0
375,20,70,33.26,349,10000,126.11,11.23,33.61,0.35,0
376,27,70,33.16,616,10000,124.92,11.18,33.61,0.45,0
377,38,70,33.36,746,10000,120.30,10.97,33.61,0.25,0
378,38,70,33.37,801,10000,116.58,10.80,33.61,0.24,0
379,43,70,33.37,832,10000,118.05,10.87,33.61,0.24,0
