# Experiment Results
# Name,B3_deep_6hidden
# Architecture,11→256→256→256→128→128→64→3
# Memory Size,100000
# Wall Obstacle,False
# Final Record,1
# Final Avg (last 100),0.00
# Overall Avg,0.03
# Overall Std,0.16
# Block Averages (per 100 eps),"0.11, 0.02, 0.00, 0.01, 0.00"
# --- Observational Notes ---
# Training Stability (avg variance),0.00
# Max Performance Drop (forgetting),0.31
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
292,0,1,0.00,401,95463,0.00,0.00,0.31,0.31,0
293,0,1,0.00,24,95487,0.00,0.00,0.31,0.31,0
294,0,1,0.00,401,95888,0.00,0.00,0.31,0.31,0
295,0,1,0.00,401,96289,0.00,0.00,0.31,0.31,0
296,0,1,0.00,401,96690,0.00,0.00,0.31,0.31,0
297,0,1,0.00,401,97091,0.00,0.00,0.31,0.31,0
298,0,1,0.00,401,97492,0.00,0.00,0.31,0.31,0
299,0,1,0.00,401,97893,0.00,0.00,0.31,0.31,0
300,0,1,0.00,401,98294,0.00,0.00,0.31,0.31,0
301,0,1,0.00,401,98695,0.00,0.00,0.31,0.31,0
302,0,1,0.00,401,99096,0.00,0.00,0.31,0.31,0
303,0,1,0.00,401,99497,0.00,0.00,0.31,0.31,0
304,0,1,0.00,401,99898,0.00,0.00,0.31,0.31,0
305,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
306,0,1,0.00,44,100000,0.00,0.00,0.31,0.31,0
307,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
308,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
309,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
310,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
311,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
312,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
313,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
314,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
315,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
316,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
317,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
318,0,1,0.00,12,100000,0.00,0.00,0.31,0.31,0
319,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
320,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
321,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
322,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
323,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
324,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
325,0,1,0.00,401,100000,0.00,0.00,0.31,0.31,0
326,1,1,0.01,223,100000,0.02,0.14,0.31,0.30,0
327,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
328,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
329,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
330,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
331,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
332,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
333,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
334,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
335,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
336,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
337,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
338,0,1,0.01,15,100000,0.02,0.14,0.31,0.30,0
339,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
340,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
341,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
342,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
343,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
344,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
345,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
346,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
347,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
348,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
349,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
350,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
351,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
352,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
353,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
354,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
355,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
356,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
357,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
358,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
359,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
360,0,1,0.01,401,100000,0.02,0.14,0.31,0.30,0
